English,Hebrew
assembly,הרכבה
assert,טען
asses,תחת.
assets,נכסים
assisted,סיוע
associated,מקושר
assuming,בהנחה
at,ב
ate,אכלתי.
atom,אטום
atomic,אטומי
attach,מצורף
attack,התקפה
attacks,התקפות
attribute,תכונה
audio,שמע
aunt,דודה
author,כותב
authorized,מאושר
auto,אוטומטי
automatic,אוטומטי
availability,זמינות
available,זמין
average,ממוצע
avoid,הימנע
away,הרחק
awaited,ממתין
aware,מודע
awareness,מודעות
axe,גרזן
axis,ציר
b,ב
ba,ba
baby,מותק.
back,אחורה
backed,מגובה
background,רקע
bad,רע
bag,שקית
bags,שקיות
bay,מפרץ
bal,Balle
balance,איזון
balanced,מאוזן
ball,כדור
balls,כדורים
ban,החרם
band,להקה
bands,להקות
bang,Bang
bank,בנק
banks,בנקים
bar,סרגל
bare,חשוף
bars,סרגלים
base,בסיס
based,מבוסס
bash,bash
basic,בסיסי
basketball,כדורסל
bass,בס
bat,עטלף
batch,קבוצה
bath,אמבטיה
bats,עטלפים
battle,קרב
be,להיות
beam,קרן
bean,שעועית
beans,שעועית
bear,דוב
beard,זקן
bearing,נושא
beat,קצב
beaut,יפה.
because,בגלל
bed,מיטה
bedroom,חדר שינה
bee,דבורה
been,היה
beer,בירה
bees,דבורים
before,לפני
begin,התחל
behavior,התנהגות
behind,מאחור
being,להיות
below,למטה
belt,חגורה
bench,ספסל
bending,כיפוף
benefit,רווח
bent,מכופף
berries,גרגרי יער
best,הכי טוב
bet,הימור.
better,יותר טוב.
between,בין
bi,דו
by,לפי
biased,מוטה
bid,הצעה
bye,ביי.
big,גדול
bike,אופניים
bill,הצעת חוק
billion,מיליארדים
bin,סל
binary,בינארי
bind,התחברות
binding,מחייב
biology,ביולוגיה
bird,ציפור
birds,ציפורים
birth,לידה
bishop,בישוף
bit,קצת
bite,נגיסה
biz,biz
black,שחור
blade,להב
blank,ריק
blast,פיצוץ
bled,דימם.
blind,עיוור
block,בלוק
blocking,חסימה
blocks,בלוקים
blood,דם
blow,מכה
blown,פוצץ
blue,כחול
bo,בו.
board,לוח
boarding,עלייה למטוס
boat,סירה
boats,סירות
body,גוף
boy,ילד.
boys,בנים
bol,בול
bold,מודגש
bolt,בורג
bomb,פצצה
bon,בון
bone,עצם
bones,עצמות
book,ספר
books,ספרים
boost,דחיפה
boot,מגף
border,גבול
born,נולד
borne,נושא
borough,רובע
boss,בוס.
both,שניהם
bottom,למטה
bound,כבול
bow,קידה
bowl,קערה
box,תיבה
boxes,תיבות
boxing,אגרוף
br,בר
bra,חזייה
brace,סד
brain,מוח
brand,מותג
branded,מסומן
bread,לחם
break,לשבור
breaker,מפסק
breaking,שבירה
breaks,הפסקות
bred,גדל
breeding,רבייה
brew,לחלוט
brid,כלה
bridge,גשר
bright,בהיר
bring,תביא
bringing,להביא
bro,אחי.
broad,רחב
broken,שבור
brook,נחל
brother,אחי.
brow,מצח
brown,חום
browser,דפדפן
brush,מברשת
bu,bu
bub,bub
buck,באק.
bucks,דולר
budget,תקציב
buff,חובבן
buffer,חוצץ
bug,באג
bugs,באגים
buy,קנה
build,מבנה
builder,בונה
builders,בנאים
building,בנייה
built,בנוי
bull,שטויות.
bum,בטלן.
bur,Bur
burg,עיר
bury,לקבור
burn,כוויה
burning,שריפה.
burst,פרץ
bus,אוטובוס
bush,שיח
business,עסקים
buster,באסטר.
but,אבל
button,כפתור
c,ג
ca,ca
cache,מטמון
cake,עוגה
cakes,עוגות
cal,קאל.
caliber,קוטר
call,שיחה
called,נקרא
calling,קורא
cam,פקה
camera,מצלמה
camp,מחנה
campaign,קמפיין
campus,קמפוס
can,יכול
cancer,סרטן
cap,מכסה
capacity,קיבולת
cape,גלימה
capital,הון
capitalist,קפיטליסטי
car,מכונית
carbon,פחמן
card,כרטיס
cards,קלפים
care,טיפול
carry,לשאת
cars,מכוניות
cart,עגלה
case,קייס
cases,תיקים
cash,מזומן
cast,ליהוק
casting,ליהוק
castle,טירה
cat,חתול
catch,תפוס
catching,תופס
category,קטגוריה
cats,חתולים
cause,סיבה
cc,"סמ""ק"
ce,se
cell,תא
cells,תאים
cent,סנט
center,מרכז
centered,מרוכז
central,מרכזי
century,המאה
certain,בטוח.
ch,CH
cha,צ'ה.
chain,שרשרת
chains,שרשראות
chair,כיסא
chairs,כיסאות
chance,סיכוי.
change,שינוי
changed,השתנה
changes,שינויים
changing,שינוי
channel,ערוץ
chant,מזמור
chapter,פרק
char,שר
character,תו
charge,תשלום
charged,טעון
charges,מטענים
charging,טעינה
chart,תרשים
chat,שיחה
che,צ'ה.
cheat,רמאי
check,בדוק
checked,מסומן
checking,בודק
checks,בודק
chemical,כימי
chemist,כימאי
chest,חזה
chi,צ'י
chief,ראשי
child,ילדה.
children,ילדים
chin,סנטר
chip,שבב
chlor,כלור
cho,צ'ו.
choice,בחירה
christ,אלוהים.
church,כנסייה
cycle,מעגל
cycles,מחזורים
cigarette,סיגריה
cigarettes,סיגריות
circle,מעגל
city,עיר
citizens,אזרחים
civil,אזרחי
claim,טען
claimed,טען
class,מחלקה
classes,שיעורים
classic,קלאסי
classified,מסווג
claw,צבת
clean,נקי
clear,נקה
click,לחץ
client,לקוח
climate,אקלים
cling,תפוס
clinical,קליני
clip,מחסנית
clock,שעון
clone,משובט
close,סגור
closed,סגור
closure,סגירת מעגל
cloth,בד
cloud,ענן
club,מועדון
cm,"ס""מ"
co,שיתוף
coal,פחם
coat,מעיל
cock,זין.
cod,בקלה
code,קוד
codes,קודים
coin,מטבע
coins,מטבעות
col,קול
cold,קר
collar,צווארון
collect,גבייה
collection,אוסף
college,מכללה
colonial,קולוניאלית
color,צבע
colored,צבעוני
colour,צבע
column,עמודה
com,Com
comb,מסרק
combat,קרב
come,בוא.
comes,מגיע.
comfort,נוחות
coming,אני בא.
comm,Comm
command,פקודה
comment,הערה
comments,הערות
commerce,מסחר
commercial,פרסומת
commit,להתחייב
committee,ועדה
common,נפוץ
communication,תקשורת
communications,תקשורת
community,קהילה
comp,comp
company,חברה
compatible,תואם
competitive,תחרותי
complete,הושלם
completely,לגמרי.
complex,מורכב
compliance,ציות
component,רכיב
computer,מחשב
con,con
concept,קונספט
concert,קונצרט
condition,תנאי
conduct,התנהגות
cone,קונוס
conf,conf
conference,ועידה
confidence,ביטחון
confirmed,אושר
conn,בקרה
connect,התחבר
connected,מחובר
connection,חיבור
cons,חסרונות
conscious,בהכרה
conservative,שמרני
consider,שקול
console,קונסולה
constitutional,חוקתי
construct,מבנה
consumer,צרכן
consuming,צורכת
contact,מגע
contained,כלול
container,מכולה
containing,מכיל
content,תוכן
context,הקשר
continental,יבשתי
continue,המשך
contract,חוזה
control,שליטה
controlled,נשלט
controller,בקר
cook,לבשל.
cooked,מבושל
cookie,עוגייה
cool,מגניב.
cop,שוטר.
copy,העתק
cor,Cor
core,ליבה
corn,תירס
correct,תיקון
corruption,שחיתות
cos,cos
cost,מחיר
could,יכול
count,ספירה
counter,מונה
country,מדינה
course,מסלול
court,בית משפט
cover,כיסוי
covered,מכוסה
cow,פרה
cr,cr
craft,כלי שיט
crazy,מטורף.
cream,קרם
create,צור
created,נוצר
creation,יצירה
creator,יוצר
credit,אשראי
crew,צוות
cry,תבכה.
crime,פשע
criminal,פושע
crypt,קריפטה
critical,קריטי
crop,יבול
cross,הצלב
crow,עורב
cru,Cru
cu,cu
cube,קוביה
cue,סימן
cul,רחוב
cult,כת
cultural,תרבות
culture,תרבות
cum,שפיך
cup,כוס
cur,curs
currency,מטבע
current,נוכחי
currently,כרגע
custom,מותאם אישית
cut,חתוך
cuts,חתכים
cutting,חיתוך
d,ד
da,דה
dad,אבא.
day,יום
daily,מדי יום
days,ימים
dam,סכר
damage,נזק
dan,דן
danger,סכנה
dark,כהה
dash,מקף
data,נתונים
database,מסד נתונים
date,תאריך
dated,תאריך
dates,תאריכים
dating,יציאה
daughter,בת
de,de
dead,מת.
deal,סגור.
death,מוות
dec,dec
deck,סיפון
deep,עמוק
def,def
default,ברירת מחדל
defense,הגנה
define,הגדר
defined,מוגדר
definition,הגדרות
degree,מעלה
del,del
delay,השהה
delete,מחק
demand,דרישה
democracy,דמוקרטיה
democratic,דמוקרטי
demon,שד.
den,דן
density,צפיפות
depend,תלוי
dependent,תלוי
depending,תלוי
depth,עומק
der,der
derived,נגזר
des,des
described,תואר
description,תיאור
design,עיצוב
designed,מעוצב
desktop,שולחן עבודה
despite,למרות
destroy,השמד
detail,פרט
details,פרטים
determination,נחישות
develop,פיתוח
developed,פותח
development,פיתוח
device,התקן
devices,התקנים
di,די
dial,חיוג
did,כן.
didn,לא.
die,תמות.
dies,מת.
diff,הבדל
different,שונה
dig,חפור
digit,ספרה
digital,דיגיטלי
dim,עמום
dimension,ממד
ding,דינג
direct,ישיר
directed,מכוון
direction,כיוון
director,במאי
directory,ספריה
dirty,מלוכלך
dis,דיס
disable,בטל
disabled,בטל
disc,דיסק
discrimination,אפליה
disk,דיסק
display,תצוגה
distance,מרחק
division,חלוקה
do,לעשות
doc,doc
doctor,דוקטור.
document,מסמך
documented,תועד
does,כן.
doesn,האם
dog,כלב
dogs,כלבים
doing,עושה
dollar,דולר
domain,תחום
dominated,נשלט
don,דון
done,סיימתי.
door,דלת
doors,דלתות
dose,מינון
double,כפול
down,למטה
download,הורד
dozen,תריסר
dr,dr
draft,טיוטה
dragon,דרקון
draw,צייר
drawn,נמשך
dream,חלום
dress,שמלה
dry,יבש
drive,כונן
driven,מונע
driver,נהג
drivers,נהגים
driving,נהיגה
drop,טיפה
dropping,יורד
drops,טיפות
drug,סם.
du,du
duct,צינור
due,בשל
dump,מזבלה
duration,משך
during,במהלך
dust,אבק
duty,חובה
e,E
each,כל אחד
ear,אוזן
early,מוקדם
earned,הרוויח
ears,אוזניים
earth,אדמה
easy,לאט.
east,מזרח
eat,תאכל.
eating,אוכל.
ec,Ec
echo,הד
economic,כלכלה
edge,קצה
edit,עריכה
edition,מהדורה
editor,עורך
educated,משכיל
education,חינוך
eff,ג'ף.
effect,אפקט
effective,יעיל
effects,אפקטים
efficiency,יעילות
efficient,יעיל
egg,ביצה
eh,אה
eye,עין
eyes,עיניים
eight,שמונה
either,או
el,אל
elect,בחר
elected,נבחר
election,בחירות
electric,חשמלי
element,אלמנט
elf,שדון
eligible,זכאי
elope,ברח.
else,אחר
em,אם.
email,"דוא"" ל"
emphasis,הדגש
employ,מעסיק
employed,מועסק
employment,תעסוקה
empty,ריק
en,en
enable,אפשר
enabled,מופעל
encrypted,מוצפן
end,סוף
ended,הסתיים
ending,סיום
ends,סוף
enemy,אויב
energy,אנרגיה
enforcement,אכיפת
engine,מנוע
engineering,הנדסה
english,אנגלית
enough,מספיק.
enter,הכנס
entity,ישות
entry,כניסה
environment,סביבה
episode,פרק
equal,שווה
equality,שוויון
equipped,מצויד
er,אה
era,עידן
err,טעות
error,שגיאה
errors,שגיאות
es,ES
escape,בריחה
ese,Ese
esp,ESP
especially,במיוחד.
essential,חיוני
est,est
establish,קבע
established,מבוסס
establishment,מוסד
estate,אחוזה
esteem,הערכה
et,et
etc,וכו'
ether,אתר
ethical,אתית
ethnic,אתני
eu,איו
evaluate,הערכה
eve,ערב
even,אפילו
event,אירוע
events,אירועים
ever,אי פעם.
every,כל אחד
everyone,כולם.
everything,הכל.
evidence,ראיות.
evil,רשע
ex,לשעבר
examination,בדיקה
example,דוגמה
except,חוץ מ...
exclusive,בלעדי
exec,מנהל
execute,בצע
exempt,פטור
exist,קיים
existence,קיום
existing,קיים
exit,יציאה
expected,צפוי
expensive,יקר
export,ייצא
express,Express
expression,ביטוי
external,חיצוני
extra,תוספת
extreme,קיצוני
extremely,מאוד.
f,F
fa,fa
face,פנים
faced,פנים
faces,פרצופים
facing,פנים
fact,עובדה
factor,גורם
facts,עובדות
fail,נכשל
failed,נכשל
fair,הוגן
faith,אמונה
fake,זיוף
fall,סתיו
falls,נפילות
false,שקר
family,משפחה
famous,מפורסם
fan,מאוורר
far,רחוק
fare,מחיר
farm,חווה
fascist,פאשיסט
fashion,אופנה
fashioned,מעוצב
fast,מהר.
fat,שומן
father,אבא.
favorite,המועדף
fax,פקס
fe,פה
feat,הישג
feature,מאפיין
features,מאפיינים
fed,נמאס
fee,עמלה
feed,הזנה
feeding,האכלה
feel,תרגיש.
feet,רגל
fell,נפל
felt,הרגשתי.
female,נקבה
fest,פסטיבל
few,מעטים
fi,fi
fiction,בדיה
field,שדה
fields,שדות
fifth,חמישי
fig,תאנה
fight,להילחם.
fighter,לוחם.
fighters,לוחמים
fighting,לחימה
fights,קרבות
figure,איור
figured,הבנתי.
fil,fil
file,קובץ
filename,שם
files,קבצים
fill,מלא
filled,מלא
film,סרט
filter,מסנן
fin,סנפיר
final,סופי
financial,פיננסי
find,מצא
finding,מציאת
fine,בסדר.
finger,אצבע
finished,סיים
fire,אש.
fired,מפוטר.
fires,שריפות
first,קודם
fish,דגים
fit,התאם
fits,מתאים
fitted,מותאם
fitting,מתאים
five,חמש.
fix,תיקון
fixed,קבוע
fl,fl
flag,דגל
flake,פתיל
flame,להבה
flash,פלאש
flat,שטוח
fleet,צי
flex,הגבהה
fly,עוף.
flies,זבובים
flight,טיסה
flying,עף.
float,צפה
floor,קומה
flow,זרימה
flower,פרח
flows,זרימות
flu,שפעת
flush,סומק
fo,Fo
focus,התמקד
focused,ממוקד
fold,קיפול
folder,תיקייה
folk,אנשים
follow,בצע
font,גופן
food,אוכל
foot,רגל
football,כדורגל
for,עבור
force,כוח
forced,כפייה
forces,כוחות
forcing,כפייה
foreign,זר
forest,יער
fork,מזלג
form,טופס
format,תבנית
formation,תצורה
formed,נוצר
former,לשעבר
formerly,בעבר
forming,יוצר
forms,צורות
forth,קדימה
fortunately,למרבה המזל.
fortune,מזל
forward,קדימה
found,נמצא
foundation,יסוד
founded,נוסד
founder,מייסד
four,ארבע.
fourth,רביעי
fox,שועל
fr,fr
fram,מסגרת
frame,מסגרת
framework,מסגרת
free,חופשי
freedom,חופש
frequency,תדירות
fresh,טרי
fried,מטוגן
friend,חבר
friendly,ידידותי
friends,חברים
frog,צפרדע
from,מ
front,חזית
fruit,פירות
fu,פו
fuck,לעזאזל.
fuel,דלק
full,מלא
fully,באופן מלא
fun,כיף.
function,פונקציה
functional,פונקציונלי
fund,קרן
funding,מימון
fur,פרווה
future,עתיד
g,g
ga,Ga
gay,הומו
gain,רווח
gal,Gal
gall,מרה
gallery,גלריה
gam,משחק
game,משחק
games,משחקים
gang,כנופיה
gap,רווח
gar,gar
gas,גז
gate,שער
ge,Ge
gear,הילוך
gee,אלוהים.
gel,ג'ל
gem,פנינה
gen,gen
gender,מין
general,כללי
generated,נוצר
generation,דור
gently,בעדינות.
get,קבל
gets,מקבל
getting,מקבל
ghost,רוח.
gi,Gi
gin,ג'ין
girl,ילדה
girlfriend,חברה
girls,בנות.
give,תן
given,ניתן
giving,נתינה
glass,זכוכית
global,גלובלי
go,קדימה.
goal,שער
god,אלוהים.
going,הולך
gold,זהב
gone,נעלם.
good,טוב.
got,Got
gotten,קבל
govern,שליטה
government,ממשלה
governmental,ממשלה
gr,gr
grab,תפוס
grad,גראד
grade,ציון
grades,ציונים
graduate,בוגר
gray,אפור
grain,תבואה
gram,גרם
grand,גדול
graph,גרף
grass,דשא
grave,קבר
gravity,כבידה
gre,Gre
great,נהדר.
green,ירוק
grey,אפור
grid,רשת
grim,עגום
gross,מגעיל.
ground,קרקע
grounds,קרקע
group,קבוצה
groups,קבוצות
grow,גדל
growing,גדל
grown,גדל
growth,גידול
gu,gu
guard,שומר
guards,שומרים
guy,בחור
guide,מדריך
guided,מונחה
gun,אקדח.
guns,רובים
h,H
ha,חה
hack,גרזן
had,היה
hair,שיער
half,חצי
hall,אולם
ham,בשר חזיר
hammer,פטיש
hand,יד
handed,יד
handle,ידית
handled,טופל
handler,מפעיל
hands,ידיים
hang,לתלות
happy,שמח.
hard,חזק
harm,פגיעה
has,יש
hash,חשיש
hat,כובע
hate,שנאה
haul,שלל
have,יש
haven,מקלט
having,יש לי
hawk,נץ
hazard,סכנה
he,הוא
head,ראש
headed,כותרת
heading,כותרת
heads,ראשים
health,בריאות
healthy,בריא
heard,שמע
heart,לב
heat,חום
heavy,כבד
heed,שים לב
hey,היי.
height,גובה
held,הוחזק
hell,לעזאזל.
hello,שלום.
helm,הגה
help,הצילו!
her,אותה.
here,הנה.
hero,גיבור.
hi,היי.
hy,היי.
hid,מוסתר
hidden,מוסתר
hide,הסתר
high,גבוה
higher,גבוה יותר
highest,הגבוה ביותר
highly,מאוד.
hill,גבעה
him,אותו.
hip,ירך
hyper,היפר
hips,ירכיים
hire,תעסיקי.
his,שלו
history,היסטוריה
historic,היסטורי
hit,פגיעה
hitting,מכה
hm,HM
ho,הו
hog,חזיר
hold,החזק
holder,בעל
holding,מחזיק
hole,חור
holes,חורים
holy,קודש
holiday,חופשה
home,ראשי
hon,מותק.
hood,מכסה מנוע
hook,וו
hop,הופ
horn,קרן
horse,סוס
hospital,בית חולים
host,מארח
hot,חם.
hound,כלב ציד
hour,שעה
hours,שעות
house,בית
houses,בתים
housing,דיור
hover,ריחוף
how,איך?
hu,הו
hub,מוקד
huge,ענק
hum,זמזום
human,בן אדם
humans,בני אדם
hung,תלוי
hunt,ציד
hunter,צייד
husband,בעל
i,אני...
y,Y
ya,כן.
yard,חצר
yards,חצרות
ice,קרח
iced,קר
icy,קרח
icon,סמל
id,מספר זיהוי
identified,מזוהה
ye,כן.
yeah,כן.
year,שנה
years,שנים
yellow,צהוב
yes,כן.
yet,עדיין.
if,אם
ignore,התעלם
ill,חולה
illegal,לא חוקי
illusion,אשליה
image,תמונה
images,תמונות
immigrant,מהגר
immigration,הגירה
immune,חיסוני
imp,אימפוטנט
impact,השפעה
import,ייבוא
important,חשוב
imposed,נכפה
improve,שיפור
in,ב
inch,אינץ '
inches,סנטימטרים
include,כלול
includes,כולל
including,כולל
income,הכנסה
increasing,הגדלה
independence,עצמאות
independent,עצמאי
index,אינדקס
individual,פרטי
induced,מושרה
industrial,תעשייתי
infect,הדבק
info,מידע
information,מידע
informed,מידע
initial,ראשי תיבות
ink,דיו
inner,פנימי
input,קלט
insert,הוסף
inside,בפנים.
inspired,השראה.
install,התקנת
installed,מותקן
instance,דוגמה
instead,במקום
insured,מבוטח
intel,מידע
intelligence,אינטליגנציה
intend,כוונה
intensity,עוצמה
intensive,אינטנסיבי
intent,כוונה
intention,כוונה
inter,אינטר
interest,ריבית
interested,מעוניין
interesting,מעניין.
interface,ממשק
intern,מתמחה
internal,פנימי
international,בינלאומי
internet,אינטרנט
interpret,פרשן
interrupted,נקטע
into,לתוך
intuitive,אינטואיטיבי
inventory,רשימת מצאי
invest,תשקיע
invoke,הפעל
involved,מעורב
yo,יו
you,אתה
young,צעיר
your,שלך
iris,קשתית
iron,ברזל
is,הוא
issue,סוגיה
issued,מונפק
issues,סוגיות
it,זה.
itch,גירוד
item,פריט
items,פריטים
j,J
ja,כן.
jab,עקיצה
jack,ג'ק
jam,ריבה
jar,צנצנת
jet,סילון
jew,יהודי
jo,ג'ו
job,עבודה
jobs,עבודות
john,ג'ון
joy,שמחה
join,הצטרף
joined,הצטרף
joining,מצטרף
journal,יומן
ju,Ju
jud,יהודה
judicial,שיפוטי
jug,כד
jump,קפוץ
jury,חבר מושבעים
just,פשוט...
justice,צדק
k,k
ka,קה
keep,שמור
keeper,שומר
keepers,שומר
keeping,שמירה
key,מפתח
keys,מפתחות
kept,שמור
kernel,גרעין
kg,קילוגרם
ki,קי
kick,בעיטה
kid,ילד.
kids,ילדים.
kill,להרוג.
killed,נהרג.
killer,רוצח.
killers,רוצחים.
killing,הרג.
kin,קרובי משפחה
kind,סוג
king,מלך
kiss,נשיקה.
kit,ערכה
km,קילומטר
kn,kn
knife,סכין
knit,סרוג
know,אני יודע.
knowledge,ידע
known,ידוע
ko,קו
l,אני...
la,לה
lab,מעבדה
label,תווית
lace,תחרה
lad,בחור.
lag,לאק
lay,שכב
layer,שכבה
layout,פריסה
lake,אגם
lan,איאן
lance,רומח
land,אדמה
lands,קרקעות
lane,נתיב
language,שפה
lap,ברכיים
large,גדול
largest,הגדול ביותר
lash,הצלפה
last,אחרון
lasting,נמשך
late,מאוחר
later,מאוחר יותר.
latest,העדכני ביותר
laugh,צחוק
laughs,צחוקים
laughter,צחוק
launch,שיגור
law,חוק
laws,חוקים
le,le
lead,עופרת
leader,מנהיג
leaders,מנהיגים
leading,מוביל
leaf,עלה
league,ליגה
lean,רזה
leaning,נשענת
learn,למד
learning,למידה
lease,חוזה
leave,תעזוב.
led,עופרת
ledge,מדף
lee,לי.
left,שמאל
leg,רגל
legal,חוקי
length,אורך
less,פחות
lest,פן
let,בואו
lethal,קטלני
letter,אות
letters,אותיות
level,רמה
levels,רמות
lf,אם
li,li
ly,LY
lib,lib
liberal,ליברלית
library,ספרייה
license,רישיון
lie,שקר
lied,שיקרתי.
lies,שקרים.
life,חיים
lift,הרם
lifting,הרם
light,אור
lighting,תאורה
lightly,בקלות.
lights,אורות
lying,משקר.
like,כמו
likely,סביר.
lime,לימון
limit,הגבלה
limited,מוגבל
limits,גבולות
line,שורה
lines,שורות
linger,השהה
lining,בטנה
link,קישור
linked,מקושר
links,קישורים
lip,שפה
liquid,נוזל
list,רשימה
listed,רשומה
lit,אור
liter,ליטר
literally,פשוטו כמשמעו
little,קטן
live,לחיות.
lived,חי
living,חיים
ln,ב
lo,הנה.
load,טען
loaded,טעון
loading,טוען
loads,המון
local,מקומי
location,מיקום
lock,נעל
locked,נעול
locking,נעילה
locks,מנעולים
log,רישום
login,התחברות
long,ארוך
loo,LOO
look,תראה.
looking,מחפש
loop,לולאה
lord,אלוהים.
loss,הפסד
lost,אבודים.
lot,הרבה
love,אהבה
loving,אהבה
low,נמוך
lower,נמוך יותר
lt,זה
lu,לו
luck,מזל
lust,תשוקה
m,מ '
ma,אמא.
mac,מק.
machine,מכונה
mad,מטורף.
made,יוצר
mag,מחסנית
magic,קסם
may,מאי
maybe,אולי.
maid,משרתת
mail,דואר
main,ראשי
major,גדול
majority,רוב
make,הפוך
maker,יוצר
makes,יוצר
making,יוצר
mal,מל
male,זכר
man,גבר.
managed,מנוהל
management,ניהול
manager,מנהל
many,רבים
map,מפה
maps,מפות
mar,מאר
margin,שוליים
marine,ימי
mark,סמן
marked,מסומן
market,שוק
marks,סימנים
marriage,נישואין
married,נשוי
mask,מסכה
mass,מסה
massive,מסיבי
mast,תור
master,מאסטר.
masters,מאסטרים
mat,שטיח
match,התאמה
matched,תואם.
mate,חבר.
material,חומר
mates,חברים
math,מתמטיקה
matter,חומר
max,מקסימום
maximum,מקסימום
mc,mc
me,אני.
meal,ארוחה
mean,מרושע.
meaning,משמעות
measures,צעדים
meat,בשר
media,מדיה
medical,רפואי
medium,בינוני
meet,פגוש
melon,מלון
member,חבר
members,חברים
memory,זיכרון
men,גברים
mental,מנטאלית
mentioned,מוזכר
menu,תפריט
mess,בלגן
message,הודעה
met,נפגש
metal,מתכת
meter,מטר
method,שיטה
mi,מיל
my,שלי
micro,מיקרו
mid,אמצע
middle,אמצע
might,אולי.
mil,מיל
mile,מיל
military,צבא
mill,טחנה
million,מיליון
min,דקות
mind,מוח
minded,אופקים
mine,שלי
mini,מיני
minimum,מינימום
mining,כרייה
mint,מנטה
minus,מינוס
minute,דקה
mis,לא
miss,גברתי.
missing,חסר
mission,משימה
mist,ערפל
mit,MIT
mix,מיקס
mm,"מ""מ"
mo,מו
mob,אספסוף
mobile,נייד
mode,מצב
model,דגם
models,מודלים
moderate,מתון
modern,מודרני
modified,שונה
module,מודול
mom,אמא.
mon,MON
money,כסף
monitor,צג
monkey,קוף
monster,מפלצת
month,חודש
months,חודשים
moon,ירח
mop,סחבה
mor,מור
moral,מוסר
more,עוד.
morning,בוקר טוב.
morph,שינוי צורה
morrow,מחר
most,רובם.
mostly,בעיקר
mother,אמא.
motion,תנועה
mount,עלה
mounted,רכוב
mouse,עכבר
mouth,פה
move,זוז.
movie,סרט
moving,העברה
mr,מר.
mu,מיו.
much,הרבה.
mud,בוץ
multi,רב
multiple,מרובים
music,מוזיקה
must,חובה
n,n
na,na
name,שם
named,שם
names,שמות
nation,אומה
national,לאומי
native,מקומי
natural,טבעי
nature,טבע
ne,ne
near,קרוב
necessary,הכרחי
neck,צוואר
need,צורך
needed,דרוש
needs,צרכים
negative,שלילי
net,רשת
network,רשת
neutral,נייטרלי
never,לעולם
new,חדש
news,חדשות
next,הבא
ni,ni
nice,נחמד.
nick,ניק
night,לילה
nine,תשע
no,לא.
node,צומת
non,ללא
none,ללא
noon,צהריים
nor,לא.
normal,רגיל
north,צפון
not,לא
note,הערה
notes,הערות
nothing,כלום.
notice,הודעה
noticed,שמתי לב.
now,עכשיו
nu,לא
nuclear,גרעיני
number,מספר
numbered,ממוספר
nut,אגוז
nutrition,תזונה
nuts,אגוזים
o,O
oak,אלון
ob,ob
object,אובייקט
objects,אובייקטים
oc,OC
occupied,תפוס
odd,מוזר.
odor,ריח
of,של
off,כבוי
offensive,פוגעני
offer,הצעה
office,משרד
official,רשמי
often,לעתים קרובות
oh,הו
oil,שמן
ointment,משחה
ok,בסדר.
ol,ol
old,ישן
older,מבוגר יותר.
omen,סימן
on,On
once,פעם אחת.
one,אחת.
ones,אחדים
only,רק
online,מקוון
