statement,translation
ארצי,Country
היקרה,Dear
אפל,Apple
בגוף,Body
פגע,Hit
אללה,Allah
המשפחה,Family
שאלו,Ask
גזע,Race
אצל,At
החברה,Company
קט,Cat
יתן,Give
נגן,Play
מטה,Down
רגלי,Foot
השם,Name
ברוב,Rob
ביתו,Home
לבוא,Come
בתוכה,Inside
ריקים,Empty
יורק,York
לספר,Tell
יהלום,Diamond
עומדת,Standing
אדומות,Red
טהורה,Pure
ראו,See
אלו,These
בבת,Bat
הביאו,Bring
מגרש,Plot
עגול,Round
גול,Goal
האוהדים,Fans
לבית,Home
ענה,Reply
ישלח,Send
יבקש,Request
בתקווה,Hopefully
חושבת,Think
הנך,You
רד,Red
משחקי,Games
כחולים,Blue
רב,Many
קץ,End
בהיות,Being
אמונים,Trust
נער,Boy
אנו,We
מרי,Mary
בלגן,Mess
מיתר,String
ספינה,Ship
פורט,Port
הלם,Shock
עתיק,Ancient
שלושה,Three
חלשה,Weak
לספינה,Ship
היבשה,Land
אבודה,Lost
שמחים,Happy
לנגן,Play
מילות,Words
אמור,Say
תמצא,Find
רע,Bad
המרחב,Space
אכן,Indeed
קח,Take
נשב,Sit
למרחב,Space
יעזור,Help
מחבר,Author
רבים,Many
הבאה,Next
השאיר,Left
לזכור,Remember
ימצא,Find
מהחברה,Company
שונים,Various
עמוד,Page
עזור,Help
אכלו,Eat
עזוב,Leave
ראה,See
נודע,Known
לתחנה,Station
באים,Coming
דפים,Pages
שבה,where
כיצד,How
רך,Soft
לקול,Voice
לחצות,Cross
להחזיר,Return
לשמח,Happy
עזרה,Help
שחורות,Black
לסרט,Film
חברתי,Social
אשלח,Send
התגלגל,Roll
אורך,Length
לחצי,Press
לשלם,Pay
שיחקו,Play
החלונות,Windows
רחבה,Wide
צהוב,Yellow
יבשה,Land
קסם,Magic
מלב,Heart
תיתן,Give
מלכי,King
נולדו,Born
דבורה,Bee
קלים,Easy
הקרוב,Coming
מלאות,Full
שאלות,Questions
שאפשר,Enabled
איבדו,Lost
ערך,Value
בימי,Days
תעזוב,Leave
מהלך,Move
נחש,Snake
מרוב,Most
ציבור,Public
להביע,Express
תמיכה,Support
מוות,Death
לשיר,Sing
דגל,Flag
מדינת,State
בשם,Name
האל,Hal
דמים,Blood
יהודי,Jewish
יהודים,Jews
בעיה,Problem
להשאר,Stay
חוזק,Strength
בער,Burn
כנה,Honest
מלחמות,Wars
כשזה,When
לוח,Board
כפוף,Subject
מדם,Blood
באוניברסיטה,University
שניים,Two
נהנה,Enjoy
ההוא,That
באזור,Area
סמוך,Close
שתיקח,Take
החזרת,Return
הביתה,Home
שהזמן,Time
המתוק,Sweet
למטה,Down
לחשוש,Fear
מקווה,Hope
פרועה,Wild
תסתכל,Look
יגיד,Say
שאל,Ask
למתוח,Stretch
לסמן,Mark
כח,Power
טבעו,Nature
תזכרי,Remember
מסתבר,Apparently
חשוך,Dark
להשתנות,Change
הסתם,Obviously
תשמרי,Keep
הבריאות,Health
מבוגר,Adult
מאושרת,Happy
גבוה,High
אחורה,Back
צלול,Clear
מגן,Shield
להרוג,Kill
חודש,Month
למען,For
יעקב,Jacob
לישראל,Israel
משמר,Guard
מצרים,Egypt
להילחם,Fight
אמן,Artist
מועד,Date
נלחמים,Fighting
נשיר,Sing
למעשה,Actually
שעבר,Past
מיליון,million
החיפוש,Search
לעצור,Stop
ללחוץ,Press
כזאת,Such
חזון,Vision
יגידו,Say
שמים,Sky
חלל,Space
הסתיר,Hide
ספרים,Books
פתוחים,Open
מזרחי,Eastern
מאזן,Balance
שגר,Launch
שניהם,Both
בסוד,Secret
שאר,Rest
במשך,For
לצעוד,March
לבקש,Ask
לנהוג,Drive
לנקות,Clear
להכנס,Enter
שיעזור,Help
גדולות,Large
אמנם,Although
דיבורים,Talk
שלט,Sign
חנות,Shop
לקנות,Buy
בפחות,Less
גדולים,Large
מעוניין,Interested
התפשטות,Spread
ציון,Score
לחתוך,Cut
נתיב,Path
מצאו,Find
טהור,Pure
נקודות,Points
הזו,This
ספק,Provider
הכחול,Blue
ייקח,Take
זכרו,Remember
נושא,Subject
לאחוז,Hold
למחוק,Delete
התחבר,Connect
מנצח,Winner
תחשוב,Think
אנסה,Try
להתרחק,Clear
ששמר,Save
ברורות,Clear
תחכה,Wait
לכן,Therefore
תווים,Characters
חסרי,Missing
הבנה,Understanding
האפור,Gray
היות,Being
יקרה,Dear
כבדה,Heavy
קלה,Easy
דף,Page
נקי,Clear
כיכר,Square
בתפריט,Menu
מתחת,Below
העבר,Move
נסתרת,Hidden
לשוב,Return
סיבת,Reason
רוב,Rob
להכות,Hit
עלול,May
מידה,Size
גל,Wave
בכדי,To
קשורים,Related
לשקול,Consider
גישה,Access
מקשר,Connector
בערך,About
חכם,Smart
תנסה,Try
יתחיל,Start
מבעד,Through
שנת,Year
עניים,Poor
לרוץ,Run
איטי,Slow
הביט,Look
עצם,Bone
עור,Skin
שרה,Sarah
יראו,Look
זרקו,Throw
מצאנו,Found
חלש,Weak
יכלו,could
מכר,Sold
אינם,None
נולד,Born
חיכו,Wait
שמרו,Save
כישלון,Failure
לאורך,Along
נחזור,Back
להיפגש,Meet
בהירים,Bright
זכרון,Memory
היקר,Dear
לרצות,Want
לתחתית,Bottom
פתרון,Solution
למת,Dead
תיגע,Touch
תנצח,Win
כד,urn
גבוהה,High
שמות,Names
החלל,Space
להיט,Hit
אגדה,Legend
מאחר,Late
מתקדם,Advanced
חושבים,Think
אלפים,Thousands
חזקה,Strong
תמסור,Pass
יגמר,End
שנכתבו,Written
העונה,Season
להעביר,Move
ריקה,Empty
הירוקה,Green
הבאות,Next
לעבור,Pass
שבין,Between
נסה,Try
אובד,Lost
להבחין,Notice
זוכה,Winner
יוכל,Can
מונח,Term
למלך,King
מיומן,Skill
חיפוש,Search
הכה,Hit
בונה,Builder
במשרד,Office
להגיש,Submit
להספיק,Enough
מוגדר,Set
לתכנן,Plan
לפתרון,Solution
ביטחון,Security
להרוויח,Earn
לפגוש,Meet
מאושרים,Happy
נסיון,Experience
לקבל,Accept
אוזן,Ear
עוצמת,Volume
הפקודה,Command
קודמים,Previous
זכות,Right
ניתנה,Given
תמשיך,Continue
פרק,Chapter
שנית,Second
לכוון,Aim
תפגע,Hit
בשום,None
תגרום,Cause
תאמר,Say
לבדוק,Check
בבוא,Coming
אדון,Master
הסדר,Order
השתנית,Changed
הפסקה,Pause
לזרוק,Throw
שתהיי,Be
להרוס,Destroy
שנבנה,Built
לבטוח,Trust
זקוקה,Need
נפילה,Fall
אורח,Guest
נותנת,Giving
הדליק,Light
בדוי,Alias
נסי,Try
כוחה,Power
זכרי,Remember
לצייר,Draw
זמנים,Times
גורם,Cause
להעלות,Upload
סולם,Scale
לגור,Live
תרגיש,Feel
מסך,Screen
תא,Cell
קבוע,Fixed
בפשטות,Simple
המדע,Science
חוקרי,Researchers
חווה,Farm
בקרוב,Soon
לקרוא,Read
ידוע,Known
יכלה,could
הלוך,Home
חיפש,Search
ששת,Friday
לחבר,Connect
לפרק,Chapter
להיגמר,End
להתגלות,Discover
ברקע,Background
צורה,Shape
לעבר,Forward
שמגיע,Coming
פנה,Turn
לכסות,Cover
לבחור,Select
תבחר,Choose
לפחד,Fear
חס,Jes
קנה,Buy
שיותר,More
מיום,dated
מעומק,Deep
דיברו,Talk
למשוך,Pull
מנוע,Engine
כולה,All
נתחיל,Begin
לבסיס,Base
שגדל,Growing
חד,Sharp
ערכים,Values
מבית,Home
עשירים,Rich
מרחב,Space
מקומה,Location
לבקר,Visit
דגים,Fish
דמות,Character
שנבנתה,Built
עליון,Top
מלכת,Queen
היטב,Well
עצמאי,Independent
קסמים,Magic
לעזור,Help
שינה,Sleep
לאתר,Website
נפגש,Meet
אעבור,Pass
ספרי,Books
כנגד,Against
מוביל,Leader
תוביל,Lead
סם,Sam
תרשה,Allow
לגדול,Growing
מתגעגע,Miss
יגלה,Discover
ימלא,Fill
מספרים,Numbers
תדבר,Talk
התקף,Attack
לבנה,White
אפריל,April
באות,Coming
הדף,Page
מדברת,Talking
לקיר,Wall
תרשי,Allow
אגיע,Coming
למשהו,Something
יגיע,Coming
להסתכל,Look
מצאתי,Found
מהפכה,Revolution
גמור,Done
לרע,Bad
ראש,Head
הממשלה,Government
ישיר,Direct
מאוחרת,Late
בקיר,Wall
לשחרר,Release
הגיל,Age
תמצאי,Find
הכלים,Tools
תאכל,Eat
קליל,Light
מזומן,Cash
להשתמש,Use
לאסוף,Collect
חלקם,Some
מחיר,Price
ברזל,Iron
תנאי,Condition
לסגור,Close
לעבוד,Work
עושות,Do
סופרת,Author
פרוע,Wild
למדה,Learn
בליל,Night
שהיום,Today
שרואים,Seeing
העומד,Standing
זאב,Wolf
תקח,Take
צד,Side
תחזיק,Hold
למדת,Learn
מיוחדת,Special
בעקבות,Following
בלונדון,London
ננסה,Try
ישב,sat
מגמה,Trend
שמסביב,Around
צלצל,Ring
אופי,Character
תפגוש,Meet
עצירה,Stop
שתביא,Bring
נשית,Female
אנושי,Human
סטייל,Style
מיי,May
בחורות,Girls
מעוד,From
קשות,Hard
בטוחה,Safe
טיל,Rocket
תוסיף,Add
פן,Penn
תתקשר,Call
חלונות,Windows
נאט,Nat
לג,Leg
ייצא,Export
ביט,Bit
מראים,Appearances
חמות,Hot
אחורי,Back
תאהב,Love
תחזיר,Return
טלפונים,Phones
טיסה,Flight
צייד,Hunter
סר,Sir
חטא,Sin
הלבן,White
מקורה,Source
בעניין,About
מנעול,Lock
מחוץ,Outside
עין,Eye
לנתונים,Data
מחשב,Computer
ירוקה,Green
המס,Tax
בדיקה,Test
הצהרת,Statement
סכום,Amount
לחץ,Press
יחידה,Unit
משדה,Field
טור,Column
בטור,Column
בעבר,Previously
חוצה,Cross
שינוי,Change
שאינו,Non
מקשיבים,Listen
הדפים,Pages
מחזה,Play
לעיתים,Sometimes
מוסיקה,Music
תנסו,Try
פרה,Cow
רוק,Rock
להציץ,Look
במורד,Down
עבודה,Work
התחלה,Start
ידידים,Friends
פנימית,Internal
מנהג,Custom
קרח,Ice
תקרא,Read
ההמשך,Continue
חפש,Search
שחסר,Missing
שנולד,Born
דרשו,Demand
אקדח,Gun
רשיון,License
שיגיד,Say
נשק,Weapons
כאל,As
פגעו,Hit
יצר,Created
חוזה,Contract
הצלחה,Success
כעת,Now
קדומה,Ancient
הערה,Comment
גבעת,Hill
קרובים,Close
זכר,Male
בסיור,Tour
לכת,sect
ישראליים,Israeli
רבה,Many
ברוכים,Welcome
הבאים,Next
הרפתקאות,Adventure
יומי,Daily
מוכרחים,Must
רשימת,List
חומר,Material
אנרגיה,Energy
אחדות,Unity
קראו,Read
השיא,Record
שמאלה,Left
ימינה,Right
פרטית,Private
המשטרה,Police
לפתח,Develop
אחוז,Percent
צפונה,North
דרומה,South
בתל,Tel
רציף,Platform
הערכים,Values
זז,Move
מרוצים,Contents
פעולה,Action
ישבו,Sit
יעלה,Upload
ירא,Fear
תקן,Standard
עובדה,Fact
מלבד,Except
בעוד,While
חפשו,Search
בעלים,Owner
זרם,Stream
שרות,Service
הספיק,Enough
ברחבי,Throughout
טל,Tal
הרשו,Allow
אישי,Personal
אנושית,Human
טבעי,Natural
בדרום,South
ראשית,First
יוני,June
ימני,Right
סע,Drive
קאט,Cut
קרובות,Close
מבחן,Test
שינתה,Changed
מתערב,Bet
היכולות,Ability
הזרם,Current
עכבר,Mouse
מיקום,Location
החל,Apply
פגש,met
פוגשים,Meet
תמורת,For
מזהיר,Warning
יתר,Override
אמיץ,Brave
לסמוך,Trust
אודות,About
שנקרא,called
במהרה,Soon
כפי,As
באנגלית,English
משתמש,User
כשה,When
משתחרר,Released
לגובה,Height
יתחילו,Start
לסיים,Finish
בתום,Tom
למשרד,Office
עשו,Done
מוצאים,Find
סינים,Chinese
שחיים,Life
הפרטיים,Private
יחסים,Relations
מאות,Hundreds
