statement,translation
יציאה,Exit
יקר,Expensive
ירוק,Green
ירח,Moon
ירקות,Vegetables
ישן,Sleeping
ישר,Straight
ישראל,Israel
יתוש,Mosquito
כאב,Pain
כביש,Road
כדור,Ball
כדורגל,Football
כדורסל,Basketball
כובע,Hat
כוכב,Star
כוס,Cup
כועס,Angry
כחול,Blue
כיסא,Chair
כיתה,Class
כל,All
כלב,Dog
כלום,Nothing
כמה,How much
כן,Yeah
כסף,Money
כספומט,ATM
כף,Spoon
כף יד,Handheld
כף רגל,Foot
כרוב,Cabbage
כרית,Pillow
כשר,Kosher
כתובת,Address
כתום,Orange
לאט,Slowly
לב,Heart
לבד,Alone
לבן,White
לחם,Bread
לטאה,Lizard
לילה,Night
לימון,Lemon
למה,Why
למטה,Down
למעלה,Top
לפני,Before
מאוד,Very
מאוחר,Late
מאפה,Pastry
מאפייה,Bakery
מבחן,Test
מגבת,Towel
מדבר,Desert
מדינה,Country
מדען,Scientist
מדפסת,Printer
מדרכה,Footsteps
מה,What
מהיר,Quick
מהנדס,Engineer
מהר,Hurry
מוזיאון,Museum
מוזיקה,Music
מוח,Brain
מוכן,Ready
מונית,Taxi
מוקדם,Early
מורה,Teacher
מזג אוויר,Weather
מזלג,Fork
מזרח,East
מחברת,Notebook
מחר,Tomorrow
מחשב,Computer
מטבח,Kitchen
מטוגן,Fried
מטוס,Plane
מטר,Meter
מי,Who
מיטה,Bed
מילון,Dictionary
מים,Water
מיץ,Juice
מיקרוגל,Microwave
מישהו,Anyone
מכונית,Car
מכוער,Ugly
מכנסים,Pants
מכנסים קצרים,Shorts
מלא,Full
מלהיב,Exciting
מלון,Hotel
מלח,Salt
מלפפון,Cucumber
ממשלה,Government
מנגו,Mango
מנה,Dose
מנהל,Administrator
מנהרה,Tunnel
מסעדה,Restaurant
מספר,Number
מסריח,Stinks
מעניין,Interesting
מערב,West
מפית,Napkin
מפתח,Developer
מצוין,Excellent.
מצחיק,Funny
מצלמה,Camera
מקום,Place
מקרר,Refrigerator
מרק,Soup
משהו,Something
משחק,Game
משטרה,Police
משעמם,Boring
משפחה,Family
משקל,Weight
משרד,Office
מתוק,Sweet
מתי,When
נבון,Wise
נהג,Driver
נהר,River
נייר,Paper
נכון,Right
נמוך,Low
נמל תעופה,Airport
נמלה,Ant
נעליים,Shoes
נקטרינה,Nectarine
נקי,Clear
נשוי,Married
נשק,Weapons
סבא,Grandpa
סבון,Soap
סבתא,Grandma
סגול,Purple
סגור,Close
סדין,Sheet
סוכר,Sugar
סוף,End
סוף שבוע,Weekend
סופרמרקט,Supermarket
סטודנט,Student
סיפור,Story
סכין,Knife
סלט,Salad
סליחה,Sorry
סלק,Beets
סנדלים,Sandals
ספה,Sofa
ספורט,Sports
ספר,Book
ספרייה,Library
סרט,Film
סתיו,Autumn
עבר,Past
עברית,Hebrew
עגבניה,Tomato
עובש,Mold
עוגה,Cake
עולם,World
עוף,Chicken
עט,Pen
עייף,Tired
עין,Eye
עיר,City
עיתון,Newspaper
עכביש,Spider
עכשיו,Now
על,About
ענבים,Grapes
עני,Answer
ענן,Cloud
עפרון,Pencil
עץ,Tree
עצור,Halt
עצלן,Lazy
עצם,Bone
ערב,Evening
ערבית,Arabic
ערוץ,Channel
עשיר,Rich
עתיד,Future
פה,Here
פטרוזיליה,Parsley
פטריות,Mushrooms
פיקח,Clever
פיתה,Pita
פלאפל,Falafel
פלפל,Pepper
פנים,Face
פסטה,Pasta
פסנתר,Piano
פעם,Once
פעמים,Times
פקולטה,Faculty
פרי,Perry
פרק,Chapter
פשוט,Simple
פתוח,Open
צבע,Color
צהוב,Yellow
צהריים,Noon
ציפור,Bird
צלחת,Plate
צפון,North
קבוצה,Group
קבלה,Acceptance
קטן,Small
קינואה,Quinoa
קיץ,Summer
קיר,Wall
קישוא,Squash
קל,Easy
קניון,Mall
קערה,Bowl
קפה,Coffee
קר,Cold
קשה,Hard
ראש,Head
ראשון,First
רב,Many
רבע,Quarter
רגל,Foot
רגע,Wait
רוטב,Sauce
רועש,Noisy
רופא,Doctor
רזה,Slim
רחוב,Street
רטוב,Wet
רימון,Grenade
רך,Soft
רכבת,Train
רע,Bad
רעב,Hungry
רעיון,Idea
רצפה,Floor
רק,Just
שאלה,Question
שבוע,Week
שבת,Saturday
שוב,Again
שווארמה,Shawarma
שולחן,Table
שום,Garlic
שוקולד,Chocolate
שזיף,Plum
שחור,Black
שחייה,Swimming
שטיח,Carpet
שיניים,Teeth
שיעור,Lesson
שכונה,Neighborhood
של,of
שלום,Hello
שלם,Pay
שם,Name
שמאלה,Left
שמיים,Sky
שמן,Oil
שמש,Sun
שנה,Year
שניה,Second
שניצל,Schnitzel
שעה,Hour
שעון,Clock
שער,Gate
שפה,Language
שקד,Shaked
שקט,Quiet
שקל,Shekel
שקשוקה,Shakshuka
שרותים,Toilet
שתייה,Drinks
תאנה,fig
תה,Tea
תודה,Thanks
תות,Strawberry
תחביב,Hobby
תחנה,Station
תינוק,Baby
תיק,Bag
תמונה,Image
תמר,Tamar
תנועה,Traffic
תנור,Oven
תפוז,Orange
תפוח,Apple
תפוח אדמה,Potato
תקרה,Ceiling
תשובה,Answer
