statement,translation
השלט,The remote
שהוסר,Removed
שינו,Shino
הרחוב,The Street
הצר,The Trouble
לדרך,On the road
בשר,Meat
אמרנו,We said
ניסינו,We tried
ציירנו,We painted
יופייך,Your Beauty
במילים,In words
בשתיקות,In Silence
למדנו,We learned
להיפגע,Getting hurt
למחול,To Dance
נשברנו,We broke
איתך,With you
כשהתחלת,When you started
ברחנו,We ran away
כדי,To
לריח,To Smell
המלוח,The Salty
אוגוסט,August
הבוער,The Burning
תופת,Inferno
חושך,Darkness
נפלנו,We fell.
לרגלייך,At your feet
נחושים,Determined
להישאר,Stay
פרטים,Details
קטנים,Small
שגונבים,who steal
המהבהב,Flashing
בקצה,At the end
המנהרה,The Tunnel
חייל,Soldier
ביום,By Day
שחוזר,Returns
בחזרה,Back
שמש,Sun
בשדרה,On the Avenue
ספסל,Bench
ישבנו,We sat
הדברים,The things
פשוטים,Simple
שעושים,who do
שלנו,Our
המשכנו,We continued
תנאים,Terms
בכלל,At all
חשבונות,Accounts
מיותרים,Unneeded
צלקות,Scars
מפוארות,Fancy
הברך,The Knee
ביקשנו,We asked
להגיע,Reach
לימים,Days
האחרים,The others
שנאנו,Shanano
שלפנו,We pulled
ציפורניים,Nails
שתקת,Shut up.
אמא,Mom
חכמה,Smart
אספת,Collected
התפילות,Prayers
היו,There were
שמיים,Sky
הטירוף,The Madness
לנחמה,For comfort
בלילות,Nights
האחרונים,Recent
כסופה,Silver
הסיפור,The Story
שלה,Her
עשוי,May
מטירוף,Madness
מתנופה,Swinging
רוקדת,Dancing
לבדה,Alone
ממציאה,Inventing
השפה,Language
גבולות,Limits
ההגיון,The Logic
שורפת,Burned
ברחיפה,On the Float
האיש,The Man
שאהבה,That love
כנראה,Probably
שכבר,already
איבדה,Lost
תגידו,Say
שקר,False
בגידה,Betrayal
יתרה,Balance
בהדרגה,Gradually
שכלה,Bride
כבודה,Your Honor
בגלל,Because
אהה,Aah!
בפניך,To You
זר,Foreigner
מקרי,Casual
זורקת,Thrower
טובות,Favors
ביטוי,Expression
אהדה,Sympathy
מחומרי,Material
השפלתה,Her humiliation
עושה,does
להמסיבה,The Party
מי,Who?
שמזדמן,Which happens
סטטיסט,Statist
בהצגה,In the play
מכוערת,Ugly
יפה,Beautiful.
המכשפה,The Witch
מעבר,Transition
לחוקים,Laws
משחררת,Release
גופה,Body
יחפה,Barefoot
הימים,The Days
שאנחנו,That we
ביחד,Together
שלוקח,Which takes
אותנו,About Us
קדימה,Come on.
טובלים,Dip
ברכות,Greetings
נחת,Landed
שחודרת,Which penetrates
אלינו,About Us
פנימה,Inside
גדלים,Sizes
לשם,There.
מתגלים,Discovered
לזו,To This
מזוית,Angle
שונה,Modified
מתחדשים,Renewables
עומדים,Standing
במקום,Instead
השנים,The years
אתמול,Yesterday
גיליתי,I found out
יודעת,I know
לרקוד,Dance
שאומרים,Saying
שביחד,Together
מאבדים,Losing
הזיק,Hazik
המשיכה,The attraction
מחבקת,Hugging
בהתחלה,At first
בערב,In the evening
הספה,The couch
שמולי,Shmuli
שקטה,Quiet
לפעמים,Sometimes
אומרת,Says
נמאס,Tired
מאותה,From the same
השגרה,Routine
לצעוק,Shout
נחנק,Choking
בשורה,Line
השחורה,The Black
חוקים,Rules
שכפיתם,That you spooned
עלי,Ali
שיעורים,Classes
עקרונות,Principles
כללים,Rules
יישפוט,Yishofet
אמת,Truth
משלי,Proverbs
להבין,Understand
נכנע,Surrender
בורח,Running away
ברור,Clear
חש,Felt
חזק,Strong
מפנים,Facing
סולח,Forgiven
זאת,This one
הכרזת,Declared
מלחמה,War
לכם,To you
שנכנעתם,That you surrendered
בספק,Doubtful
אתן,You guys.
אהיה,I will be
בורג,Screw
קטן,Small
במכונה,In the Machine
השחוקה,The Rugged
שלכם,Yours
נכון,Right.
בדרכי,On my way
החיים,Life
טעיתי,I was wrong
ודאי,Sure.
אולי,Maybe.
שלי,Mine
הצודק,The Right
המוחלט,Absolute
אחותי,Sister
הגדולה,The Great
שבא,Sheba
ירון,Jeroen
החבר,Boyfriend
הצבאי,Military
עומד,Standing
בדלת,At the door
מתבלבלת,Confused
שולחת,Sending
להביא,Bring
עיתון,Newspaper
מסתכל,Watching
קפלי,Cappelli
ילון,Yalon
מתחבא,Hiding
לזוז,Move
רואה,See?
מתנשקת,Kissing
מתנשקים,Kissing
בצרפתית,In French
בעברית,Hebrew
משעמם,Boring
משתלם,Costing
מכשפה,Witch
שעות,Hours
בעיניה,In her eyes
עולות,Rising
כשירון,Chiron
מצלצל,Ringing
צוהלת,Rejoice
למסע,The Journey
קניות,Shopping
שאביא,Shabaa
ממתקים,Sweets
מיני,Mini
שטויות,Nonsense
שיתחיל,Get Started
הסרט,The Movie
איי,Aye.
לאב,Love
יו,Yoo
משחק,Game
נותן,Gives
לחשוב,To think
שלנצח,That forever
אשמע,I will.
בקולה,Kola
הנשיקה,The Kiss
הצרפתית,French
נשמעת,Sounded
האם,Is
כדאי,Better.
בודדה,Lonely
לעוף,Fly
ליפול,Fall
לרצפה,To the floor
מכאיב,Painful
לעצמך,To yourself
עף,Flying
ברוח,In the wind
שלידך,Next to you
מדהים,Awesome.
הופך,Becomes
לרוח,Spirit
שבך,Shabacha
לזהור,Shining
צדק,Justice
תוך,While
בעירה,Burn
שממשיכה,Which continues
תשאירי,Leave
הטעויות,The Mistakes
התסכולים,Frustration
החרדות,Anxieties
כן,Yeah.
מזכרת,A souvenir
אכתוב,I will write
איזו,Which
אמצא,I will.
מסגרת,Frame
המתנ,The Wait
אגדל,I will grow
חתול,Cat
כלב,Dog
אכעס,I'll be angry
ארצה,Down
אסע,I will.
לאירופה,To Europe
אטייל,Attila
בעולם,In the World
בתי,Daughter
מלון,Hotel
קזינו,Casino
לילות,Nights
פרועים,Wild
אחייה,her brother.
החשבונות,The accounts
עושבת,Weeding
בעיות,Problems
ימשיך,Continue
שהיה,Which was
אמשיך,I will continue
תעלה,Channel
ישטוף,Ishofa
יעלו,Go Up
יגעו,Touched
בחוף,On the beach
יעבור,Pass
החורף,Winter
יבוא,Import
אביב,Spring
ילבלב,Flavours
חורש,Woodland
שדות,Fields
סביב,Around
הפעם,This time
נגיעה,Touch
רכה,Soft
שפתיים,Lips
נשיקה,Kiss
תיכנס,Come in.
תכלת,Light blue
יוולד,Be born
יבכה,Weep
יצחק,Isaac
הכוכבים,The Stars
דולקים,Fired
נצחיים,Eternal
יקום,Universe
מלילה,From Leela
זמניים,Temporary
שירו,Sing
החופש,Freedom
ריקדו,Dance!
הקירבה,Proximity
קודש,Sacred
למעשים,For Actions
תוקף,Valid
קדושת,Sacred
היום,Today
נורא,Terrible.
איום,Threat
בו,Bo
תנשא,Marry
מלכותך,Your Majesty
יכון,Set
בחסד,By grace
כסאך,Your throne
תשב,Sit
באמת,Come on.
דיין,Dane
מוכיח,Proves
כותב,Author
חותם,Sign
מונה,Monet
תזכור,Remember
הנשכחות,The Forgotten
תפתח,Open
ספר,Book
הזכרונות,The Memories
מאליו,Granted
יקרא,Read
בשופר,The Shofar
גדול,Large
יתקע,jamming
דממה,Silence
דקה,Minute
ישמע,Listen
מלאכים,Angels
יחפזון,Haste
חיל,Corps
רעדה,Trembling
יאחזון,Yachshon
יאמרו,They say
הדין,The Judgment
לפקוד,Command
צבא,Army
מרום,Merom
בדין,Bedin
יזכו,Win
בעיניך,In Your Eyes
באי,Bae
עולם,World
יעברון,Transmitter
לפניך,Before You
כבני,As sons
מרון,Maroon
כבקרת,As a controller
רועה,Shepherd
עדרו,Herd
מעביר,Moving
צאנו,Tsano
תחת,Ass
שבטו,His Tribe
תעביר,Pass
תספור,Count
תמנה,Appoint
תפקוד,Function
נפש,Soul
תחתוך,Cut
קצבה,Annuity
בריה,Bria
תכתוב,Write
גזר,Carrot
דינם,Dinem
בראש,Head
השנה,This year
יכתבון,Yavkaon
בצום,Fasting
יחתמון,Etchings
יבראון,Yebraon
יחיה,Live
ימות,Die
בקצו,At its end
במים,In water
באש,Bash
בחרב,The Sword
בחיה,Animal
ברעש,Noise
במגיפה,The Plague
ינוח,Rest.
ינוע,MOVE
יישקט,Be quiet
ייטרף,Jethro
ישלו,He has
יתייסר,Yasser
ירום,Yerom
יישפל,Yishfel
ייעשר,YHVH
יעני,Ya'ani
תפילה,Prayer
צדקה,Charity
מעבירין,Transferring
רוע,Evil
הגזירה,The Cut
יוצרם,Created
יצרם,Tzrem
דם,Blood
יסודו,Its foundation
מעפר,Dirt
סופו,End
לעפר,To the dirt
בנפשו,In his soul
יביא,Bring
לחמו,Fought
משול,Margin
כחרס,Khmers
הנשבר,Broken
כחציר,Khmer
יבש,Dry
כציץ,As a boob
נובל,Noble
כצל,As a shadow
כענן,As a Cloud
כלה,Bride
כרוח,As Spirit
נושבת,Blowing
כאבק,As dust
פורח,Flowering
כחלום,As a dream
יעוף,Fly
מלך,King
קיים,Existing
שסיימתי,I finished
להתפרע,Get wild
שראיתי,I saw
משנה,Sub
משתגע,Going crazy
הטובים,The Good
כשכל,When all
מובילות,Leads
למשבר,Crisis
כשמה,When what?
שבניתי,I built
למיליון,A Million
רסיסים,Fragments
לניסים,Miracles
להתווכח,Debate
ספרתי,I counted
צללים,Shadows
התקרה,The ceiling
להתמקח,Bargaining
זמן,Time
קרה,Cold
הפחדים,Fears
מרימים,Lifting
ראשם,Heads
שנשאר,Remaining
ניסיתי,I tried
נשארתי,I stayed
חסר,Missing
אונים,Helpful
לעצום,Close
עיניים,Eyes
בטח,Sure.
לצחוק,Laugh
שאין,None
מקום,Place
סיבה,Reason
לחכות,Wait
מחר,Tomorrow
לאבד,Losing
דעת,Opinion
לפנות,Clear
למי,To Whom
הגורל,Fate
תשובות,Answers
פחד,Fear
מסתדר,Works out
מצב,Status
לשתוק,Shut up
לריב,Fight
לומר,to say
שיש,Marble
לדבר,Talk
לנסות,Try
תבכי,Cry
תחכי,Wait.
זריחה,Sunrise
המדבר,The Desert
עולה,Rising
נדרך,Stepped
המחר,Tomorrow
הילד,The boy
בתוכי,Inside me
הולך,Going
לאיבוד,Lost
אמיתי,Real
סף,threshold
הבגרות,Adulthood
עוצם,Intensity
העינים,The Eyes
שוכח,Forgetting
חובק,UNITED
לוקח,Takes
פסק,Pause
מהעולם,From the World
קורא,Reader
לפגישות,For meetings
חדשות,News
ערים,Cities
רחוקות,Far Away
אהבות,Loves
שאוהב,Love
כאב,Pain
שאכאב,That I'll hurt
ממחר,From Tomorrow
השכחה,Forgetting
חמים,Warm
הזריחה,The Sunrise
הגלים,The Waves
בנעלי,In my shoes
עקב,Heel
גופיה,Goofy
כתומה,Orange
כשהיא,When she
רקדה,Danced
דילג,Skip
מתוק,Sweet
נושם,Breathing
לרגל,To spy
השקת,Launch
המטה,Headquarters
הלאומי,National
להגנה,For protection
ברשת,Online
הוקלטה,Recorded
גרסה,Version
חדשה,New
לקלאסיקה,Classics
ארקדי,Arkady
דוכין,Duchin
חדר,Room
השיר,The Song
גרסת,Version
כולל,Includes
שכתב,Overwrite
למאבק,The Struggle
באלימות,In Violence
נגד,Against
בחדר,In Room
כרגע,Currently
בשחור,In Black
נמשך,Continued
שבוע,Week
תשאל,Ask
מדוע,Why
תתגבר,Overcome
אומר,Says
הקול,The Voice
לכולנו,For us all
מותר,Allowed
חלשים,Weak
לאטום,Seal
אוזניים,Ears
בימים,Days
קשים,Hard
נח,Resting
ימשך,will continue
שמוכרח,Forced
בינתיים,In the meantime
החדר,The Room
מנותק,Offline
ריק,Empty
צחקו,Laughed
שכיביתי,I turned off
הרשת,The Network
נמחק,Deleted
נחצו,Crossed
הגבולות,The Limits
למות,Die
גשר,Bridge
צר,Narrow
שמתקלף,Which peels
ים,Sea
תקוע,Stuck
געגוע,Longing
דצמבר,December
דופק,Pulse
בשער,At the Gate
חבוש,bandaged
קסדת,Helmet
תנור,Oven
דולק,Powered
צל,Shadow
כבד,Heavy
חורף,Winter
